//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440495.38999512,4464174.28999512,8.21000004,97,255,0,3.000000,1.000000,373167.968750,1.000000
440495.65999939,4464172.94999878,8.77999973,121,255,0,3.000000,12.000000,373168.781250,1.000000
440496.74000122,4464173.18998901,8.65999985,116,255,0,3.000000,8.000000,373169.562500,1.000000
440496.13000061,4464173.40001099,8.85999966,124,255,0,3.000000,8.000000,373169.687500,1.000000
440496.21999695,4464173.69999878,8.82999992,123,255,0,3.000000,22.000000,373170.375000,1.000000
440496.03998901,4464182.87001221,8.61999989,114,255,0,1.000000,4.000000,373045.687500,1.000000
440495.13999512,4464182.62999146,8.15999985,94,255,0,2.000000,13.000000,373109.125000,1.000000
440498.02999451,4464181.46998779,8.72000027,118,255,0,2.000000,15.000000,373109.250000,1.000000
440498.52999451,4464182.53999512,8.69999981,118,255,0,2.000000,15.000000,373109.343750,1.000000
440494.88000061,4464182.74000732,8.11999989,93,255,0,2.000000,11.000000,373109.531250,1.000000
440495.32999756,4464182.80000488,8.27000046,99,255,0,2.000000,11.000000,373109.750000,1.000000
440498.67998840,4464182.24998657,8.80000019,122,255,0,2.000000,13.000000,373109.937500,1.000000
440500.05999329,4464180.53999512,8.72999954,119,255,0,2.000000,29.000000,373110.125000,1.000000
440499.02000000,4464182.02000610,8.67000008,116,255,0,2.000000,27.000000,373110.343750,1.000000
440496.53998901,4464183.03999512,8.69999981,118,255,0,2.000000,9.000000,373110.437500,1.000000
440496.49999573,4464177.09999268,7.88000011,83,255,0,2.000000,9.000000,373110.531250,1.000000
440497.10999634,4464182.84001343,8.02999973,88,255,0,2.000000,9.000000,373110.625000,1.000000
440501.64998962,4464175.09001343,8.57999992,112,255,0,2.000000,13.000000,373110.625000,1.000000
440497.35000183,4464182.86000244,8.01000023,88,255,0,2.000000,9.000000,373110.750000,1.000000
440495.05999329,4464174.84001343,7.69999981,75,255,0,2.000000,21.000000,373111.125000,1.000000
440494.99000122,4464183.90001099,7.80999994,80,255,0,2.000000,19.000000,373111.437500,1.000000
440500.60999634,4464180.25999634,8.89000034,126,255,0,2.000000,7.000000,373111.750000,1.000000
440496.61999084,4464184.43000977,7.94999981,85,255,0,2.000000,3.000000,373111.937500,1.000000
440501.60000183,4464175.61000244,8.32999992,102,255,0,2.000000,21.000000,373112.437500,1.000000
440496.25999023,4464183.56999390,8.89000034,126,255,0,2.000000,14.000000,373112.843750,1.000000
440499.32999756,4464179.15001099,8.18000031,95,255,0,2.000000,1.000000,373113.031250,1.000000
440498.72999146,4464182.99000732,8.72999954,119,255,0,2.000000,28.000000,373113.750000,1.000000
